datetime,timestamp,joint_angle_1,joint_angle_des_1,joint_angle_2,joint_angle_des_2,joint_angle_3,joint_angle_des_3,joint_angle_4,joint_angle_des_4
2023-10-20 11:57:07.363246,1697795827.363246,1.76,1.05,1.04,1.05,1.81,1.05,1.05,1.05
2023-10-20 11:57:07.573627,1697795827.573627,1.52,1.05,1.03,1.05,1.67,1.05,1.04,1.05
2023-10-20 11:57:07.784009,1697795827.784009,1.2,1.05,1.03,1.05,1.65,1.05,1.05,1.05
2023-10-20 11:57:07.993700,1697795827.9937,1.03,1.05,1.03,1.05,1.09,1.05,1.05,1.05
2023-10-20 11:57:08.204113,1697795828.204113,1.04,1.05,1.05,1.05,0.95,1.05,1.05,1.05
2023-10-20 11:57:08.414006,1697795828.414006,1.04,1.05,1.05,1.05,0.97,1.05,1.05,1.05
2023-10-20 11:57:08.624385,1697795828.624385,1.04,1.05,1.05,1.05,0.99,1.05,1.05,1.05
2023-10-20 11:57:08.835262,1697795828.835262,1.2,1.22,1.04,1.05,0.99,1.05,1.05,1.05
2023-10-20 11:57:09.044743,1697795829.044743,1.21,1.22,1.04,1.05,1.0,1.05,1.05,1.05
2023-10-20 11:57:09.254607,1697795829.254607,1.21,1.22,1.04,1.05,1.01,1.05,1.05,1.05
2023-10-20 11:57:09.464620,1697795829.46462,1.21,1.22,1.04,1.05,1.01,1.05,1.05,1.05
2023-10-20 11:57:09.674506,1697795829.674506,1.21,1.22,1.04,1.05,1.03,1.05,1.05,1.05
2023-10-20 11:57:09.883905,1697795829.883905,1.21,1.22,1.04,1.05,1.03,1.05,1.05,1.05
2023-10-20 11:57:10.095058,1697795830.095058,1.21,1.22,1.04,1.05,1.03,1.05,1.05,1.05
2023-10-20 11:57:10.304870,1697795830.30487,1.31,1.4,1.04,1.05,1.04,1.05,1.05,1.05
2023-10-20 11:57:10.514123,1697795830.514123,1.38,1.4,1.04,1.05,1.04,1.05,1.05,1.05
2023-10-20 11:57:10.724844,1697795830.724844,1.38,1.4,1.04,1.05,1.04,1.05,1.05,1.05
2023-10-20 11:57:10.935229,1697795830.935229,1.38,1.4,1.04,1.05,1.04,1.05,1.05,1.05
2023-10-20 11:57:11.144223,1697795831.144223,1.38,1.4,1.04,1.05,1.04,1.05,1.05,1.05
2023-10-20 11:57:11.354415,1697795831.354415,1.38,1.4,1.04,1.05,1.04,1.05,1.05,1.05
2023-10-20 11:57:11.564845,1697795831.564845,1.38,1.4,1.04,1.05,1.04,1.05,1.05,1.05
2023-10-20 11:57:11.775298,1697795831.775298,1.38,1.57,1.04,1.05,1.04,1.05,1.05,1.05
2023-10-20 11:57:11.984876,1697795831.984876,1.38,1.57,1.04,1.05,1.04,1.05,1.05,1.05
2023-10-20 11:57:12.194233,1697795832.194233,1.38,1.57,1.04,1.05,1.05,1.05,1.05,1.05
2023-10-20 11:57:12.404234,1697795832.404234,1.38,1.57,1.04,1.05,1.05,1.05,1.05,1.05
2023-10-20 11:57:12.615470,1697795832.61547,1.38,1.57,1.04,1.05,1.05,1.05,1.05,1.05
2023-10-20 11:57:12.824191,1697795832.824191,1.38,1.57,1.04,1.05,1.05,1.05,1.05,1.05
2023-10-20 11:57:13.034462,1697795833.034462,1.38,1.57,1.04,1.05,1.05,1.05,1.05,1.05
2023-10-20 11:57:13.245897,1697795833.245897,1.38,1.75,1.04,1.05,1.05,1.05,1.05,1.05
2023-10-20 11:57:13.454374,1697795833.454374,1.38,1.75,1.04,1.05,1.05,1.05,1.05,1.05
2023-10-20 11:57:13.665065,1697795833.665065,1.38,1.75,1.04,1.05,1.05,1.05,1.05,1.05
2023-10-20 11:57:13.874792,1697795833.874792,1.38,1.75,1.04,1.05,1.05,1.05,1.05,1.05
2023-10-20 11:57:14.084850,1697795834.08485,1.38,1.75,1.04,1.05,1.05,1.05,1.05,1.05
2023-10-20 11:57:14.294720,1697795834.29472,1.38,1.75,1.04,1.05,1.05,1.05,1.05,1.05
2023-10-20 11:57:14.504399,1697795834.504399,1.38,1.75,1.04,1.05,1.05,1.05,1.05,1.05
2023-10-20 11:57:14.714581,1697795834.714581,1.38,1.92,1.04,1.05,1.05,1.05,1.05,1.05
2023-10-20 11:57:14.925761,1697795834.925761,1.38,1.92,1.04,1.05,1.05,1.05,1.05,1.05
2023-10-20 11:57:15.134894,1697795835.134894,1.38,1.92,1.04,1.05,1.05,1.05,1.05,1.05
2023-10-20 11:57:15.345463,1697795835.345463,1.38,1.92,1.04,1.05,1.05,1.05,1.05,1.05
2023-10-20 11:57:15.554577,1697795835.554577,1.38,1.92,1.04,1.05,1.05,1.05,1.05,1.05
2023-10-20 11:57:15.764131,1697795835.764131,1.38,1.92,1.04,1.05,1.05,1.05,1.05,1.05
2023-10-20 11:57:15.975236,1697795835.975236,1.38,1.92,1.04,1.05,1.05,1.05,1.05,1.05
2023-10-20 11:57:16.184837,1697795836.184837,1.38,1.92,1.04,1.05,1.05,1.05,1.04,1.05
2023-10-20 11:57:16.395207,1697795836.395207,1.38,2.09,1.04,1.05,1.05,1.05,1.04,1.05
2023-10-20 11:57:16.605341,1697795836.605341,1.38,2.09,1.04,1.05,1.05,1.05,1.04,1.05
2023-10-20 11:57:16.815361,1697795836.815361,1.38,2.09,1.04,1.05,1.05,1.05,1.04,1.05
