level_0,index,datetime,timestamp,joint_angle_1,joint_angle_des_1,joint_angle_2,joint_angle_des_2,joint_angle_3,joint_angle_des_3,joint_angle_4,joint_angle_des_4,timestamp_vicon,ee_base_ori_x,ee_base_ori_y,ee_base_ori_z,ee_base_ori_w,ee_top_ori_x,ee_top_ori_y,ee_top_ori_z,ee_top_ori_w
0,0,2023-10-20 11:57:07.363246,1697795827.363246,1.76,1.05,1.04,1.05,1.81,1.05,1.05,1.05,1697795827.342786,-0.0121392277546357,0.0079313396283471,0.3380655897759262,0.9410108341622194,-0.0549511127066518,-0.0240864264482874,-0.3899376368650842,0.91888457307179
10,10,2023-10-20 11:57:09.464620,1697795829.46462,1.21,1.22,1.04,1.05,1.01,1.05,1.05,1.05,1697795829.443261,-0.0103550456852759,0.0084082795374925,0.3374433945729457,0.941251310396518,0.1516044714149749,-0.1663028438695545,-0.5003067901987844,0.8360936335416471
16,16,2023-10-20 11:57:10.724844,1697795830.724844,1.38,1.4,1.04,1.05,1.04,1.05,1.05,1.05,1697795830.743555,-0.0147930534918352,0.0046882279805096,0.3380851576182634,0.9409875728642884,0.147172180073847,-0.1405743099076885,-0.4783596050711196,0.8542548220774002
21,21,2023-10-20 11:57:11.775298,1697795831.775298,1.38,1.57,1.04,1.05,1.04,1.05,1.05,1.05,1697795831.743782,-0.0145371192524239,0.0046582525014407,0.3380787099236582,0.9409940269437572,0.1473245125333927,-0.1409307460798956,-0.4781548453819995,0.8542844705681348
28,28,2023-10-20 11:57:13.245897,1697795833.245897,1.38,1.75,1.04,1.05,1.05,1.05,1.05,1.05,1697795833.244121,-0.0148714207944097,0.0046217180613799,0.3380329680218012,0.9410054160822288,0.1478309181042303,-0.1403888550326242,-0.4784538859773191,0.8541187669336693
35,35,2023-10-20 11:57:14.714581,1697795834.714581,1.38,1.92,1.04,1.05,1.05,1.05,1.05,1.05,1697795834.744461,-0.015053956893069,0.0046257774594611,0.3380686664410317,0.9409896690907608,0.147753817157581,-0.1405451190819807,-0.4782364222931136,0.8542281916501461
43,43,2023-10-20 11:57:16.395207,1697795836.395207,1.38,2.09,1.04,1.05,1.05,1.05,1.04,1.05,1697795836.444845,-0.010689610408569,0.0079860936681714,0.3362493758256184,0.9416784545661636,0.1473127377818173,-0.1430767283507689,-0.478246421962001,0.8538784263419527
50,50,2023-10-20 11:57:17.865009,1697795837.865009,1.38,1.05,1.04,1.22,1.05,1.05,1.04,1.05,1697795837.845162,-0.0126213426925752,0.0073164628558581,0.3366177261851373,0.9415283731772842,0.1469875781604475,-0.1412570972866637,-0.4809704439996653,0.8527065827888496
57,57,2023-10-20 11:57:19.335838,1697795839.335838,1.17,1.22,1.34,1.22,1.05,1.05,1.04,1.05,1697795839.345501,-0.0072523102162947,0.0051218668732417,0.3357579573239538,0.941906452133069,0.1430088667519914,-0.2193109102540135,-0.4795022280756185,0.8375731621442897
64,64,2023-10-20 11:57:20.805320,1697795840.80532,1.25,1.4,1.25,1.22,1.05,1.05,1.05,1.05,1697795840.845841,-0.0073549413847836,0.0050784883752129,0.3357648120130398,0.9419034477094228,0.148977289077332,-0.1978300680216158,-0.4791613920814848,0.8420649570337585
