level_0,index,datetime,timestamp,joint_angle_1,joint_angle_des_1,joint_angle_2,joint_angle_des_2,joint_angle_3,joint_angle_des_3,joint_angle_4,joint_angle_des_4,timestamp_vicon,ee_base_ori_x,ee_base_ori_y,ee_base_ori_z,ee_base_ori_w,ee_top_ori_x,ee_top_ori_y,ee_top_ori_z,ee_top_ori_w,ee_base_pos_x,ee_base_pos_y,ee_base_pos_z,ee_top_pos_x,ee_top_pos_y,ee_top_pos_z
0,0,2023-10-24 10:43:39.778015,1698137019.778015,2.08,2.09,1.06,1.05,2.06,2.09,1.08,1.05,1698137019.759369,0.028139318288667,-0.0311384604702659,0.9419622180895584,-0.333085206422606,0.0471204956001329,-0.029883596587753,0.9433601062585064,0.3270448584969925,152.83415899840656,329.5659024947795,41.166078486459455,150.82723951204787,341.1035653627794,119.72961678444037
1,1,2023-10-24 10:43:39.988812,1698137019.988812,2.03,2.03,1.05,1.04,2.0,1.99,1.12,1.11,1698137019.959417,0.02990681417525,-0.0300315499350694,0.94196609867804,-0.3330218572641406,0.0442097959830473,-0.0203349079841335,0.9383071929219848,0.3423617927971513,152.85326882744357,329.51302595267214,41.38527404558179,150.1474147192603,343.17215716571445,119.73088569735891
2,2,2023-10-24 10:43:40.200400,1698137020.2004,2.06,2.07,1.03,1.04,1.9,1.88,1.04,1.03,1698137020.159463,0.0300841740320597,-0.0300922337312396,0.941820453803734,-0.3334121064670591,0.0169863865174279,-0.0533364301400512,0.9340930086563384,0.3526144340102173,152.83506099960496,329.42540010934454,41.37445635149896,144.48019381663175,339.69858348116617,119.4304201866329
3,3,2023-10-24 10:43:40.410567,1698137020.410567,1.98,1.96,1.12,1.22,1.8,1.79,1.11,1.18,1698137020.459534,0.0306007336428255,-0.0318619471647977,0.9418068578880192,-0.333239034115881,-0.0135576234367554,-0.1332331384377388,0.9276487546948244,0.3486157047264495,152.84376569265385,329.3717644332723,41.16514124489527,135.65953054658593,328.2957688733312,117.47012651585112
4,4,2023-10-24 10:43:40.622426,1698137020.622426,1.98,1.96,1.25,1.27,1.71,1.71,1.11,1.12,1698137020.659581,0.0304269648479021,-0.0327909139817999,0.9417680689356868,-0.3332744516213782,-0.0254538196859929,-0.1632250192104557,0.9249852456016772,0.3422162935722733,152.85952615185423,329.4329320590535,41.13783110067763,131.56704552174088,324.4426719241433,116.216514381298
5,5,2023-10-24 10:43:40.832282,1698137020.832282,1.95,1.94,1.28,1.29,1.68,1.68,1.16,1.17,1698137020.859628,0.0305051728034311,-0.0328316976524347,0.9417690146141656,-0.3332606144958562,-0.0262402482640109,-0.1618256714135049,0.926364807245912,0.3390754272117869,152.8609998851568,329.4298247498518,41.13799290708803,131.25102352679644,324.58767740466,116.25748456672616
6,6,2023-10-24 10:43:41.044245,1698137021.044245,1.95,1.93,1.28,1.29,1.69,1.69,1.18,1.2,1698137021.059675,0.0306853155354812,-0.0320386630982891,0.9417909401287272,-0.3332592992983251,-0.0450729552818266,-0.1502237265358733,0.9259642331652236,0.3434989076934257,152.85700816103352,329.37872490166944,41.13938147028459,129.1194074984375,327.5559343286469,116.00930315851174
7,7,2023-10-24 10:43:41.254793,1698137021.254793,2.04,2.15,1.24,1.24,1.61,1.62,1.28,1.3,1698137021.259722,0.0303850261708772,-0.033466901399141,0.9418478941890032,-0.3329853764162557,-0.07660825200003,-0.1295187232799543,0.930043230970664,0.3352247970706801,152.8877827912273,329.4416374553039,41.1927875757434,125.94700447313213,332.5223342661949,115.60762359056496
8,8,2023-10-24 10:43:41.465917,1698137021.465917,2.17,2.43,1.14,1.08,1.62,1.62,1.39,1.39,1698137021.459769,0.029708213469653,-0.0331143779561142,0.9418098218140296,-0.3331893148941708,-0.0971445117838554,-0.0950784984151422,0.9353411758524608,0.3265882847322214,152.84988689099137,329.4082471392378,41.0012555956627,123.7204795843247,338.3721821787988,115.09791016143664
9,9,2023-10-24 10:43:41.677243,1698137021.677243,2.29,2.77,1.21,1.25,1.54,1.54,1.49,1.49,1698137021.659816,0.030425721674518,-0.0321506381410746,0.941814380635733,-0.3332060689054707,-0.1275039865964211,-0.1233114969339811,0.9362825001821152,0.3031700644500505,152.84062561611964,329.37865277966966,41.14672890435819,118.2057782501086,335.32590291662643,112.66509790506852
10,10,2023-10-24 10:43:41.887999,1698137021.887999,2.31,2.3,1.15,0.84,1.64,1.66,1.58,1.63,1698137021.859863,0.0312866309966824,-0.031277158900028,0.9418321133456322,-0.333159355748747,-0.0999910567827836,-0.0291491247016527,0.9533870766456394,0.2832052244886583,152.83458643880894,329.351504562679,41.28498133536829,126.70431280999937,348.4150739005468,115.71411384621524
11,11,2023-10-24 10:43:42.099003,1698137022.099003,2.21,2.17,0.99,0.87,1.68,1.67,1.62,1.62,1698137022.05991,0.0300266316880464,-0.0322629860148397,0.94187786147786,-0.3330519406650705,-0.0314030878790411,0.0930098907654119,0.952668044657337,0.2877266115259995,152.7940609774494,329.3328072662849,41.00433198698476,143.8295955433062,364.92020331870566,115.85749108361634
12,12,2023-10-24 10:43:42.309626,1698137022.309626,2.07,2.03,0.87,0.84,1.61,1.61,1.63,1.63,1698137022.259957,0.0292873878141747,-0.0294106443828046,0.9421632330635642,-0.3325743603695608,-0.0080037712711884,0.1549543614252828,0.9387590271457842,0.3076630859772134,152.9041436308414,329.2431473031804,41.501070821275775,151.06613006821777,373.2775691054673,113.21226357699148
13,13,2023-10-24 10:43:42.520926,1698137022.520926,1.94,1.95,0.9,0.91,1.59,1.58,1.63,1.63,1698137022.560028,0.0296635734658729,-0.032854870712813,0.9418820091242792,-0.3330148807000831,0.0407160661241028,0.1716605704564868,0.9287942055668792,0.3259082297446949,152.84143267897727,329.40479074487,41.03682735604973,161.07817494129847,373.4867388594091,112.86952034000782
14,14,2023-10-24 10:43:42.731804,1698137022.731804,1.85,1.82,0.9,0.91,1.67,1.74,1.58,1.57,1698137022.760075,0.0309091070225064,-0.0310589149414448,0.941903005519696,-0.3330145628928188,0.079099468931905,0.1698040032515387,0.9216988787236968,0.3396778642389312,152.81330674558052,329.3293665999865,41.28506696573464,167.65313813731495,370.8683184935015,112.74746107331951
15,15,2023-10-24 10:43:42.943503,1698137022.943503,1.71,1.67,0.94,0.92,1.8,1.92,1.5,1.49,1698137022.960122,0.0302359060658124,-0.0305025861000121,0.9419216309605136,-0.3330751016726965,0.1123510150548049,0.1571706902634187,0.9153955668934451,0.3531650883795051,152.8458884305387,329.3032195211411,41.24778806624332,172.94920364597598,366.7336707895635,112.96177680507516
16,16,2023-10-24 10:43:43.153879,1698137023.153879,1.68,1.69,1.03,1.15,1.93,2.26,1.44,1.44,1698137023.160169,0.029578163874308,-0.0329022310444,0.9418978132227862,-0.3329730993042211,0.1486870209167124,0.1432143205009038,0.9155287939630292,0.345237390267883,152.83080613205487,329.3928771391338,41.0451851745016,177.2263971423511,362.7045491854225,113.13519060556636
17,17,2023-10-24 10:43:43.364330,1698137023.36433,1.59,1.56,1.08,1.08,2.06,2.57,1.42,1.42,1698137023.360216,0.0282098603365173,-0.0295347675746873,0.9426417175772026,-0.3312981943313379,0.1741529116308161,0.1483808929794348,0.9011157897388372,0.3682990733798907,152.8370252880862,329.15390485729296,41.16006388552801,182.54918785041124,361.2008113099089,111.39984556853172
18,18,2023-10-24 10:43:43.576127,1698137023.576127,1.53,1.54,1.0,0.98,2.16,2.96,1.32,1.31,1698137023.560263,0.029301396638188,-0.0327008339779964,0.941926523153944,-0.3329361929729449,0.1773314777357726,0.1200542340437405,0.8990576915543674,0.3818845311729054,152.84539666738482,329.3846252717163,41.02734189723939,181.92050668919637,356.48031672798874,112.53102119528316
19,19,2023-10-24 10:43:43.786338,1698137023.786338,1.45,1.46,1.1,1.54,2.29,2.35,1.22,1.12,1698137023.76031,0.0294941266008211,-0.0331366611838924,0.941844648997434,-0.3331076632810167,0.2153498264314523,0.0788013163498232,0.8921925148634748,0.3891109369049743,152.8354294577656,329.42228087140734,41.00737564969422,185.3992774812274,347.3179512541966,112.7328504692824
20,20,2023-10-24 10:43:43.997973,1698137023.997973,1.46,1.46,1.22,1.59,2.32,2.32,1.08,1.02,1698137023.960357,0.030045829157945,-0.0318340323662699,0.9419235037119164,-0.3329623938053401,0.2258704586441672,0.0400526463306609,0.893795130870244,0.3853681168265325,152.83159911533903,329.40728772787,41.12011059662564,184.65020032136172,340.37795587638874,113.65917730238266
21,21,2023-10-24 10:43:44.209367,1698137024.209367,1.46,1.47,1.35,1.63,2.26,2.26,0.95,0.92,1698137024.160404,0.029350796391854,-0.0327789200664559,0.9418870050019852,-0.3330359484482589,0.2280246879042455,-0.0135347633439247,0.8972336665374467,0.3778800067735329,152.86782160668284,329.43337357446006,40.994992877157294,181.59258895832596,332.1904980894358,114.75637336386882
22,22,2023-10-24 10:43:44.420061,1698137024.420061,1.57,1.57,1.47,1.54,2.17,2.1,0.83,0.78,1698137024.460474,0.0308523771521869,-0.0309367673843017,0.9419571903918024,-0.3328779036179045,0.1667145152446531,-0.1200089174001961,0.9089968986182592,0.3626689515985058,152.82767385288247,329.39042822758114,41.24565646505699,165.13415988282387,319.0643529392182,116.77241721351254
23,23,2023-10-24 10:43:44.631259,1698137024.631259,1.54,1.54,1.4,1.35,2.04,1.9,0.82,0.82,1698137024.690515,0.0301362853323934,-0.0336324528126446,0.9417955185248336,-0.333139405820911,0.1164229033514347,-0.1098214527406601,0.9121887454228018,0.3772222803827054,152.82222553941205,329.4427626341921,41.01466449103863,157.2223416587154,323.91664902290114,118.63729395238768
24,24,2023-10-24 10:43:44.842080,1698137024.84208,1.64,1.69,1.28,1.29,1.91,1.79,0.91,1.1,1698137024.890562,0.0309410411003502,-0.0316536894050826,0.9416996468657152,-0.3335303149874996,0.0539334169496081,-0.1432496851065479,0.9195842702338636,0.3618500852445213,152.88246443317286,329.35798841104406,41.200117081177815,145.51534696283505,323.1155767102964,118.29218291282191
25,25,2023-10-24 10:43:45.052719,1698137025.052719,1.78,1.93,1.28,1.29,1.78,1.69,1.03,1.2,1698137025.090609,0.0307065331074191,-0.0322492671645517,0.9417337944785944,-0.3333984911915785,-0.0100179083004686,-0.1676838260384519,0.9201863815965128,0.3536082565816392,152.8540286299393,329.4076562525375,41.14993580979775,133.9230140711538,322.7675969884793,116.4877589605184
26,26,2023-10-24 10:43:45.263880,1698137025.26388,1.9,1.94,1.28,1.29,1.68,1.68,1.16,1.17,1698137025.290656,0.0304268735476726,-0.032667812096595,0.9416730444018032,-0.3335549383024853,-0.0168771089387802,-0.1515568867150742,0.9277106386781304,0.3407325111675107,152.83221307309913,329.4352756996428,41.15952229802257,134.2274413776927,325.5119267507415,116.82239860519653
27,27,2023-10-24 10:43:45.475253,1698137025.475253,1.97,1.96,1.28,1.27,1.71,1.71,1.13,1.12,1698137025.490703,0.0298333808856419,-0.0330832098194977,0.9418190315110334,-0.3331551928104834,-0.004275628063913,-0.1150593272533961,0.9330047553042914,0.3409474985921356,152.84706716849783,329.4177774747109,40.99743460616741,137.87271772117862,330.6723175312174,118.33766480161944
28,28,2023-10-24 10:43:45.686364,1698137025.686364,1.96,1.96,1.22,1.22,1.79,1.79,1.19,1.18,1698137025.69075,0.0307315766185884,-0.0322468594613002,0.9415898326424754,-0.3338027820700933,0.0111097773166953,-0.0826483804763544,0.9377970279164746,0.3370201069426515,152.79159968704366,329.4391278924541,41.22882648737858,142.41092751533887,334.532719845964,119.15760102357754
29,29,2023-10-24 10:43:45.896919,1698137025.896919,2.04,2.07,1.12,1.04,1.88,1.88,1.1,1.03,1698137025.890797,0.0308391146265506,-0.031213075421961,0.9418734649832144,-0.3330901813207156,0.0271010109915882,-0.0464294852396947,0.9359749149814364,0.3479379206541068,152.85222315602647,329.35825248912784,41.22647500576211,146.7550429870403,339.5492774597313,119.42973760061408
30,30,2023-10-24 10:43:46.108470,1698137026.10847,2.02,2.03,1.05,1.04,1.97,1.99,1.13,1.11,1698137026.090844,0.0307343470389945,-0.0306336393365973,0.9418675650810931,-0.3331703316642923,0.0453235445945132,-0.0235133294901335,0.9394038254180664,0.3389887202129014,152.8602959073695,329.34131400916567,41.25623108311551,150.86691958207498,342.64550146102414,119.6761780473395
31,31,2023-10-24 10:43:46.319157,1698137026.319157,2.02,2.03,1.05,1.04,1.98,1.99,1.13,1.11,1698137026.290891,0.0306794246098924,-0.0310389716302062,0.9417940899378742,-0.3333455373990128,0.0470610274695843,-0.0217818989297241,0.938660662515209,0.340920766775847,152.85513512513174,329.3796758396314,41.265139975663885,150.8050054766515,342.75936996172896,119.69311659426064
