datetime,timestamp,joint_angle_1,joint_angle_des_1,joint_angle_2,joint_angle_des_2,joint_angle_3,joint_angle_des_3,joint_angle_4,joint_angle_des_4
2023-10-24 10:38:19.463955,1698136699.463955,2.08,2.09,1.05,1.05,2.06,2.09,1.08,1.05
2023-10-24 10:38:19.675135,1698136699.675135,2.03,2.03,1.05,1.04,2.0,1.99,1.12,1.11
2023-10-24 10:38:19.886505,1698136699.886505,1.97,1.96,1.13,1.23,1.9,1.78,1.16,1.17
2023-10-24 10:38:20.097419,1698136700.097419,1.91,1.85,1.24,1.36,1.79,1.69,1.21,1.31
2023-10-24 10:38:20.308100,1698136700.3081,1.9,1.82,1.39,1.39,1.62,1.56,1.35,1.41
2023-10-24 10:38:20.508374,1698136700.508374,1.9,1.94,1.49,1.58,1.51,1.38,1.5,1.5
2023-10-24 10:38:20.719987,1698136700.719987,1.93,1.93,1.62,1.61,1.39,1.33,1.42,1.41
2023-10-24 10:38:20.930538,1698136700.930538,1.88,1.89,1.53,1.49,1.43,1.43,1.5,1.57
2023-10-24 10:38:21.141892,1698136701.141892,1.83,1.83,1.4,1.37,1.52,1.63,1.44,1.38
2023-10-24 10:38:21.353199,1698136701.353199,1.92,1.94,1.27,1.29,1.66,1.68,1.31,1.16
2023-10-24 10:38:21.563683,1698136701.563683,2.02,2.07,1.19,1.04,1.78,1.88,1.2,1.03
2023-10-24 10:38:21.775204,1698136701.775204,1.96,1.9,1.05,0.81,1.91,2.28,1.25,1.26
2023-10-24 10:38:21.985624,1698136701.985624,1.83,1.76,1.08,1.09,2.04,2.1,1.36,1.46
2023-10-24 10:38:22.196743,1698136702.196743,1.71,1.61,1.17,1.36,2.06,2.05,1.49,1.55
2023-10-24 10:38:22.408037,1698136702.408037,1.58,1.41,1.3,1.77,1.98,1.92,1.62,1.72
2023-10-24 10:38:22.619075,1698136702.619075,1.45,1.31,1.43,1.58,1.84,1.82,1.75,1.79
2023-10-24 10:38:22.829399,1698136702.829399,1.33,1.31,1.57,1.57,1.87,1.87,1.82,1.82
2023-10-24 10:38:23.040158,1698136703.040158,1.39,1.49,1.62,1.62,1.87,1.87,1.74,1.68
2023-10-24 10:38:23.251522,1698136703.251522,1.53,1.66,1.52,1.13,1.97,2.1,1.61,1.5
2023-10-24 10:38:23.462918,1698136703.462918,1.66,1.76,1.39,0.85,2.1,2.13,1.46,1.35
2023-10-24 10:38:23.673831,1698136703.673831,1.79,2.03,1.26,1.04,2.04,1.99,1.33,1.11
2023-10-24 10:38:23.884882,1698136703.884882,1.92,2.03,1.14,1.04,1.99,1.99,1.21,1.11
2023-10-24 10:38:24.095557,1698136704.095557,2.02,2.03,1.05,1.04,1.98,1.99,1.12,1.11
2023-10-24 10:38:24.306501,1698136704.306501,2.02,2.03,1.05,1.04,1.98,1.99,1.12,1.11
2023-10-24 10:38:24.517858,1698136704.517858,2.02,2.03,1.05,1.04,1.98,1.99,1.12,1.11
2023-10-24 10:38:24.729522,1698136704.729522,2.02,2.03,1.05,1.04,1.98,1.99,1.12,1.11
2023-10-24 10:38:24.939927,1698136704.939927,2.02,2.03,1.05,1.04,1.98,1.99,1.12,1.11
2023-10-24 10:38:25.150509,1698136705.150509,2.02,2.03,1.05,1.04,1.98,1.99,1.12,1.11
2023-10-24 10:38:25.362348,1698136705.362348,2.02,2.03,1.05,1.04,1.98,1.99,1.12,1.11
2023-10-24 10:38:25.572759,1698136705.572759,2.02,2.03,1.05,1.04,1.99,1.99,1.12,1.11
2023-10-24 10:38:25.784015,1698136705.784015,2.02,2.03,1.05,1.04,1.99,1.99,1.12,1.11
2023-10-24 10:38:25.995344,1698136705.995344,2.02,2.03,1.05,1.04,1.99,1.99,1.12,1.11
2023-10-24 10:38:26.205820,1698136706.20582,2.02,2.03,1.05,1.04,1.99,1.99,1.12,1.11
2023-10-24 10:38:26.417283,1698136706.417283,2.02,2.03,1.05,1.04,1.99,1.99,1.12,1.11
2023-10-24 10:38:26.628222,1698136706.628222,2.02,2.03,1.05,1.04,1.99,1.99,1.12,1.11
