level_0,index,datetime,timestamp,joint_angle_1,joint_angle_des_1,joint_angle_2,joint_angle_des_2,joint_angle_3,joint_angle_des_3,joint_angle_4,joint_angle_des_4,timestamp_vicon,ee_base_ori_x,ee_base_ori_y,ee_base_ori_z,ee_base_ori_w,ee_top_ori_x,ee_top_ori_y,ee_top_ori_z,ee_top_ori_w,ee_base_pos_x,ee_base_pos_y,ee_base_pos_z,ee_top_pos_x,ee_top_pos_y,ee_top_pos_z
0,0,2023-10-24 10:38:19.463955,1698136699.463955,2.08,2.09,1.05,1.05,2.06,2.09,1.08,1.05,1698136699.500908,0.0283633225710523,-0.0317683440845116,0.9417877534549564,-0.3334998076298168,0.0513889335017281,-0.0207235222818069,0.940269402346674,0.3358915958288018,152.82312504657637,329.54356589986764,41.40205085355953,151.62106723691133,342.5445369996388,120.11535595871868
1,1,2023-10-24 10:38:19.675135,1698136699.675135,2.03,2.03,1.05,1.04,2.0,1.99,1.12,1.11,1698136699.700955,0.0290401255716485,-0.0329363258421908,0.9417818989081936,-0.3333447531245646,0.0470282385712296,-0.0149538518186142,0.939252629107028,0.3396604566448822,152.824941480712,329.5218216031914,41.34286518622957,151.4040139895177,343.60693307370127,120.12565063589425
2,2,2023-10-24 10:38:19.886505,1698136699.886505,1.97,1.96,1.13,1.23,1.9,1.78,1.16,1.17,1698136699.901002,0.029993896340588,-0.0330586560498596,0.941772633436784,-0.3332743589777533,0.0284432397171834,-0.0634273674663462,0.9396587690219496,0.3349766394404755,152.81823757732994,329.4457730796471,41.284570359643325,145.98254662936844,336.71837935767206,120.16364790115128
3,3,2023-10-24 10:38:20.097419,1698136700.097419,1.91,1.85,1.24,1.36,1.79,1.69,1.21,1.31,1698136700.101049,0.030870490778615,-0.0323990177547431,0.9417431145008252,-0.3333425006474589,-0.0358164754037557,-0.1874998800632918,0.925597063041448,0.3268501980341285,152.8282741177163,329.4467264171839,41.38191469059304,129.03049327639502,321.0814194265463,115.65531133952922
4,4,2023-10-24 10:38:20.308100,1698136700.3081,1.9,1.82,1.39,1.39,1.62,1.56,1.35,1.41,1698136700.301096,0.0308139226557327,-0.0329154022452944,0.9417060987870928,-0.3334017126122653,-0.0869766160810897,-0.2460834797009611,0.9095372886683004,0.3234500112772704,152.85339871926004,329.483613442575,41.32348866365238,117.96703909229934,315.4700186136566,110.57021970123574
5,5,2023-10-24 10:38:20.508374,1698136700.508374,1.9,1.94,1.49,1.58,1.51,1.38,1.5,1.5,1698136700.501143,0.0302869351662286,-0.0329137866318074,0.9417112272291468,-0.3334356740337889,-0.1104365346428625,-0.2731384758116366,0.9027957312416532,0.3133033873088841,152.83742340004375,329.46621386059803,41.30874184092097,112.70944139841026,311.40188129425024,106.11987825827816
6,6,2023-10-24 10:38:20.719987,1698136700.719987,1.93,1.93,1.62,1.61,1.39,1.33,1.42,1.41,1698136700.701191,0.0300761733555303,-0.0328064197907469,0.9416946941605944,-0.3335120171846681,-0.1137245242526903,-0.2866086104249241,0.8929859289937206,0.3278694368693354,152.83402326794194,329.45199237153105,41.31589151565788,110.85382590287594,310.5690934657255,104.44685095045752
7,7,2023-10-24 10:38:20.930538,1698136700.930538,1.88,1.89,1.53,1.49,1.43,1.43,1.5,1.57,1698136700.901237,0.0308025358145046,-0.0328927138409786,0.9417147726659222,-0.3333805034886445,-0.1208466200138688,-0.277447278698353,0.8926755493835009,0.3339902176815466,152.84749159557134,329.48505366353,41.31249639703906,110.73439622900412,312.84469363697235,105.94236863912236
8,8,2023-10-24 10:38:21.141892,1698136701.141892,1.83,1.83,1.4,1.37,1.52,1.63,1.44,1.38,1698136701.101284,0.031028623235988,-0.0328463781804147,0.9416957169967554,-0.3334179307872858,-0.0852631213590348,-0.2528617704289798,0.9006321656064454,0.343005579352116,152.8624755504865,329.4993288345619,41.32022113511897,116.61896289828,315.2795496803816,110.12192777242474
9,9,2023-10-24 10:38:21.353199,1698136701.353199,1.92,1.94,1.27,1.29,1.66,1.68,1.31,1.16,1698136701.401355,0.0310017660209992,-0.0316852094819102,0.9417733111602836,-0.3333136186684583,-0.0204005424326657,-0.1186010939885854,0.9343802927781222,0.335337243444617,152.80423300536123,329.4102089494733,41.47536218920106,134.94259146986977,331.0614263012475,118.414799074918
10,10,2023-10-24 10:38:21.563683,1698136701.563683,2.02,2.07,1.19,1.04,1.78,1.88,1.2,1.03,1698136701.601402,0.0296328007930168,-0.0329455925895531,0.9418719194315052,-0.3330371937674485,0.0234037823373888,-0.037863632929098,0.9413688337284576,0.3344298538683983,152.84073514897364,329.4761405721983,41.28352621144263,146.69928094992707,341.6558787467807,120.21027962936788
11,11,2023-10-24 10:38:21.775204,1698136701.775204,1.96,1.9,1.05,0.81,1.91,2.28,1.25,1.26,1698136701.801449,0.0296916153627569,-0.0329582299542228,0.9418191704887564,-0.3331798510644148,0.0808918465405235,0.0525392930918745,0.9394296677105588,0.3288890865776782,152.80509348668434,329.43070572017467,41.30110881975445,161.06990904797215,352.5336880445136,118.94881355522156
12,12,2023-10-24 10:38:21.985624,1698136701.985624,1.83,1.76,1.08,1.09,2.04,2.1,1.36,1.46,1698136702.001496,0.0308100529376886,-0.0314441951799671,0.941771258034967,-0.3333600167487047,0.1331563026954853,0.1219750007817195,0.9306171704351446,0.3183444366218027,152.81479729139596,329.3591096214049,41.52325809943055,172.8124748988928,360.6935145375151,115.23525756956042
13,13,2023-10-24 10:38:22.196743,1698136702.196743,1.71,1.61,1.17,1.36,2.06,2.05,1.49,1.55,1698136702.201543,0.0318287614479743,-0.0323717445811254,0.9409966316867,-0.3353570325067714,0.1715453033296508,0.1775052460487539,0.9183620672639302,0.3093140959307058,152.95077390106712,329.4898063064478,41.329802254265374,181.54013591552464,367.3523363344538,110.6759172658434
14,14,2023-10-24 10:38:22.408037,1698136702.408037,1.58,1.41,1.3,1.77,1.98,1.92,1.62,1.72,1698136702.40159,0.0294977635726717,-0.0318957285970324,0.9419377476421236,-0.3329651993953098,0.195943281874615,0.2366627349630002,0.9007908560781728,0.306875893113145,152.8544202793701,329.2523498132494,41.36742038866859,187.8400994288462,374.7245162453619,105.19409774317268
15,15,2023-10-24 10:38:22.619075,1698136702.619075,1.45,1.31,1.43,1.58,1.84,1.82,1.75,1.79,1698136702.601637,0.0305786529452929,-0.0306030495035019,0.9419697242553996,-0.3328985399958132,0.2109544329041439,0.2729005778318591,0.8881140398543124,0.3037712199514323,152.8830062351692,329.3989258325536,41.37066545559032,191.6066963034956,379.3364846830545,100.51089628127454
16,16,2023-10-24 10:38:22.829399,1698136702.829399,1.33,1.31,1.57,1.57,1.87,1.87,1.82,1.82,1698136702.801684,0.0299606198390303,-0.0315088726331181,0.9419183132640772,-0.3330156803245262,0.2240885399059819,0.2766933207476437,0.8771107341910456,0.3223381648258424,152.8271410995664,329.4384637458742,41.379788428724105,194.8053997621201,378.3007718213301,98.80056507014866
17,17,2023-10-24 10:38:23.040158,1698136703.040158,1.39,1.49,1.62,1.62,1.87,1.87,1.74,1.68,1698136703.001731,0.0294097452783269,-0.0331698301890112,0.9421068129105368,-0.3323696471031118,0.2214032762998002,0.2547542677789082,0.887538210416842,0.3136188408597549,152.7974987126689,329.3730683050841,41.19787481162985,192.80180487520173,375.8834502953485,102.31394224895745
