datetime,timestamp,joint_angle_1,joint_angle_des_1,joint_angle_2,joint_angle_des_2,joint_angle_3,joint_angle_des_3,joint_angle_4,joint_angle_des_4
2023-10-24 10:36:45.144865,1698136605.144865,2.08,2.09,1.05,1.05,2.06,2.09,1.07,1.05
2023-10-24 10:36:45.345466,1698136605.345466,2.03,2.03,1.05,1.04,2.0,1.99,1.12,1.11
2023-10-24 10:36:45.555990,1698136605.55599,2.14,2.13,1.02,1.03,1.91,1.89,1.2,1.49
2023-10-24 10:36:45.767036,1698136605.767036,2.23,2.36,0.93,0.86,1.8,1.55,1.33,1.66
2023-10-24 10:36:45.978003,1698136605.978003,2.35,2.66,0.82,0.82,1.67,1.41,1.46,1.71
2023-10-24 10:36:46.189014,1698136606.189014,2.48,2.8,0.81,0.82,1.54,1.35,1.59,1.74
2023-10-24 10:36:46.400357,1698136606.400357,2.6,2.78,0.81,0.82,1.42,1.34,1.71,1.73
2023-10-24 10:36:46.611024,1698136606.611024,2.7,2.77,0.81,0.82,1.37,1.37,1.74,1.73
2023-10-24 10:36:46.822862,1698136606.822862,2.67,2.55,0.83,0.84,1.46,1.46,1.71,1.69
2023-10-24 10:36:47.032175,1698136607.032175,2.55,2.2,0.79,0.8,1.54,1.71,1.61,1.61
2023-10-24 10:36:47.244982,1698136607.244982,2.42,2.02,0.72,0.7,1.67,2.04,1.52,1.35
2023-10-24 10:36:47.454949,1698136607.454949,2.29,1.94,0.79,1.24,1.8,2.15,1.39,1.02
2023-10-24 10:36:47.666555,1698136607.666555,2.16,1.47,0.92,1.6,1.93,2.28,1.26,1.0
2023-10-24 10:36:47.877244,1698136607.877244,2.03,1.15,1.05,1.7,2.06,2.43,1.13,0.87
2023-10-24 10:36:48.087710,1698136608.08771,1.91,1.24,1.17,1.82,2.18,2.64,1.01,0.72
2023-10-24 10:36:48.299534,1698136608.299534,1.78,1.23,1.3,1.82,2.31,2.67,0.89,0.65
2023-10-24 10:36:48.509902,1698136608.509902,1.65,1.26,1.43,1.95,2.43,2.65,0.78,0.78
2023-10-24 10:36:48.721595,1698136608.721595,1.53,1.25,1.56,1.71,2.56,2.59,0.78,0.8
2023-10-24 10:36:48.932676,1698136608.932676,1.4,1.36,1.59,1.6,2.52,2.36,0.87,0.93
2023-10-24 10:36:49.143206,1698136609.143206,1.46,1.69,1.52,1.54,2.39,2.17,0.99,1.0
2023-10-24 10:36:49.354569,1698136609.354569,1.59,2.03,1.43,1.04,2.26,1.99,1.07,1.11
2023-10-24 10:36:49.555381,1698136609.555381,1.72,2.03,1.31,1.04,2.13,1.99,1.1,1.11
2023-10-24 10:36:49.766892,1698136609.766892,1.84,2.03,1.19,1.04,2.0,1.99,1.1,1.11
2023-10-24 10:36:49.977569,1698136609.977569,1.96,2.03,1.07,1.04,1.99,1.99,1.11,1.11
2023-10-24 10:36:50.188192,1698136610.188192,2.02,2.03,1.04,1.04,1.99,1.99,1.11,1.11
2023-10-24 10:36:50.398894,1698136610.398894,2.03,2.03,1.04,1.04,1.99,1.99,1.11,1.11
2023-10-24 10:36:50.609902,1698136610.609902,2.03,2.03,1.04,1.04,1.99,1.99,1.11,1.11
2023-10-24 10:36:50.821468,1698136610.821468,2.03,2.03,1.04,1.04,1.99,1.99,1.11,1.11
2023-10-24 10:36:51.032388,1698136611.032388,2.02,2.03,1.04,1.04,1.99,1.99,1.11,1.11
2023-10-24 10:36:51.242965,1698136611.242965,2.03,2.03,1.04,1.04,1.99,1.99,1.11,1.11
2023-10-24 10:36:51.454493,1698136611.454493,2.03,2.03,1.04,1.04,1.99,1.99,1.11,1.11
2023-10-24 10:36:51.665850,1698136611.66585,2.03,2.03,1.04,1.04,1.99,1.99,1.11,1.11
