level_0,index,datetime,timestamp,joint_angle_1,joint_angle_des_1,joint_angle_2,joint_angle_des_2,joint_angle_3,joint_angle_des_3,joint_angle_4,joint_angle_des_4,timestamp_vicon,ee_base_ori_x,ee_base_ori_y,ee_base_ori_z,ee_base_ori_w,ee_top_ori_x,ee_top_ori_y,ee_top_ori_z,ee_top_ori_w,ee_base_pos_x,ee_base_pos_y,ee_base_pos_z,ee_top_pos_x,ee_top_pos_y,ee_top_pos_z
0,0,2023-10-24 10:36:45.144865,1698136605.144865,2.08,2.09,1.05,1.05,2.06,2.09,1.07,1.05,1698136605.100153,0.0282876104590882,-0.0310841436800175,0.9419269874123712,-0.3331773363997761,0.0527104518131589,-0.0284630279583871,0.9414400740579256,0.3318162914428713,152.8048129329591,329.5798117158473,41.55735997095695,150.65412672300164,341.28307859965,120.16113161010844
1,1,2023-10-24 10:36:45.345466,1698136605.345466,2.03,2.03,1.05,1.04,2.0,1.99,1.12,1.11,1698136605.3002,0.0286314443454122,-0.0321593661762617,0.941953757116588,-0.3329701713604104,0.0461227493255195,-0.0238233414066436,0.9391612837101097,0.3395308875181415,152.81088780444088,329.60160158112814,41.48888046700661,150.4008096798161,342.74016542241816,120.14879703285068
2,2,2023-10-24 10:36:45.555990,1698136605.55599,2.14,2.13,1.02,1.03,1.91,1.89,1.2,1.49,1698136605.600271,0.0289700648888258,-0.0320707677421833,0.9419236692739418,-0.333034536434704,-0.0274271134278243,-0.0012352684783178,0.9458336281676876,0.3234887562002001,152.80160432102568,329.52156385761,41.463235971973575,140.2734846544031,349.80482832243047,118.68406924130709
3,3,2023-10-24 10:36:45.767036,1698136605.767036,2.23,2.36,0.93,0.86,1.8,1.55,1.33,1.66,1698136605.800318,0.0288827146566848,-0.0320195596520952,0.9419501292626636,-0.3329722069119248,-0.0724971213120113,0.0239716002767027,0.9438710389644122,0.3213673779117705,152.80006454985167,329.53372677736104,41.4676641581997,133.70785178435003,356.7453050213299,116.32422259254083
4,4,2023-10-24 10:36:45.978003,1698136605.978003,2.35,2.66,0.82,0.82,1.67,1.41,1.46,1.71,1698136606.000365,0.0284203856542018,-0.0329342144237747,0.9419891856053632,-0.3328122494772392,-0.1274863612734831,0.0298817561808034,0.94196779802624,0.3091132087413844,152.7366780298835,329.53701378974085,41.37116112312079,126.4514616280496,360.1091799020721,113.51373791787012
5,5,2023-10-24 10:36:46.189014,1698136606.189014,2.48,2.8,0.81,0.82,1.54,1.35,1.59,1.74,1698136606.200412,0.0292652224929498,-0.0321439006195913,0.9418849141246076,-0.3331112801300442,-0.1801378630999692,0.0291142634506842,0.9357386166189948,0.3018210584261322,152.75522389730892,329.44852858721964,41.46230027080864,118.71767329460376,361.3205561229499,110.0592945383732
6,6,2023-10-24 10:36:46.400357,1698136606.400357,2.6,2.78,0.81,0.82,1.42,1.34,1.71,1.73,1698136606.400459,0.0266972133567114,-0.0352208600528424,0.9420099311315044,-0.3326620499331762,-0.211283847971002,0.021906481148828,0.9303122666937326,0.2989955319221542,152.68769952213225,329.5693495842032,41.03430285001451,112.85455619561884,362.3226017219663,106.76553487877564
7,7,2023-10-24 10:36:46.611024,1698136606.611024,2.7,2.77,0.81,0.82,1.37,1.37,1.74,1.73,1698136606.600507,0.0288204751534105,-0.0318439020727223,0.9418747159054104,-0.3332076914640729,-0.2174631188429192,0.0295251389041482,0.9336846035393352,0.2829684067690168,152.7350355293682,329.46125434793,41.47918743843768,112.74522023893194,362.725097318338,106.50146689739276
8,8,2023-10-24 10:36:46.822862,1698136606.822862,2.67,2.55,0.83,0.84,1.46,1.46,1.71,1.69,1698136606.800554,0.0289561426734956,-0.0319994712433468,0.9418858476040708,-0.3331495545918969,-0.1854957138727983,0.0334886005763451,0.9384517190492132,0.2894446834540855,152.74282170870956,329.46045673535315,41.465619874919526,116.88097450574595,361.9347632923785,108.9998056166989
9,9,2023-10-24 10:36:47.032175,1698136607.032175,2.55,2.2,0.79,0.8,1.54,1.71,1.61,1.61,1698136607.000601,0.0267485760699889,-0.0346643110727508,0.9421755895285164,-0.3322469830001052,-0.137014485081592,0.0517797759558242,0.9449200696990414,0.2926977067893592,152.67462239908514,329.6297911946445,41.14144072886215,125.26062756506435,363.1231336721404,112.21186802911288
