datetime,timestamp,joint_angle_1,joint_angle_des_1,joint_angle_2,joint_angle_des_2,joint_angle_3,joint_angle_des_3,joint_angle_4,joint_angle_des_4
2023-10-24 10:40:22.568194,1698136822.568194,2.07,2.09,1.06,1.05,2.06,2.09,1.07,1.05
2023-10-24 10:40:22.778750,1698136822.77875,2.03,2.03,1.05,1.04,2.0,1.99,1.11,1.11
2023-10-24 10:40:22.989412,1698136822.989412,2.11,2.11,0.97,0.91,2.07,2.15,1.14,1.14
2023-10-24 10:40:23.200293,1698136823.200293,2.19,2.2,1.02,1.23,2.18,2.27,1.24,1.3
2023-10-24 10:40:23.411630,1698136823.41163,2.24,2.22,1.14,1.32,2.17,2.16,1.36,1.45
2023-10-24 10:40:23.623359,1698136823.623359,2.28,2.26,1.26,1.38,2.16,2.14,1.49,1.49
2023-10-24 10:40:23.822910,1698136823.82291,2.3,2.28,1.36,1.37,2.22,2.2,1.47,1.48
2023-10-24 10:40:24.033802,1698136824.033802,2.3,2.28,1.35,1.36,2.27,2.26,1.47,1.47
2023-10-24 10:40:24.246092,1698136824.246092,2.21,2.2,1.26,1.24,2.21,2.21,1.38,1.34
2023-10-24 10:40:24.456441,1698136824.456441,2.11,2.1,1.15,0.83,2.18,2.18,1.25,1.14
2023-10-24 10:40:24.667223,1698136824.667223,2.08,2.08,1.03,0.97,2.08,2.04,1.16,1.15
2023-10-24 10:40:24.878067,1698136824.878067,1.99,1.84,0.9,0.88,1.95,1.96,1.05,0.98
2023-10-24 10:40:25.088882,1698136825.088882,1.86,1.81,0.97,0.99,1.87,1.85,0.95,0.96
2023-10-24 10:40:25.300541,1698136825.300541,1.74,1.74,0.91,0.93,1.76,1.64,0.94,0.95
2023-10-24 10:40:25.512118,1698136825.512118,1.72,1.72,0.86,0.88,1.68,1.68,0.86,0.88
2023-10-24 10:40:25.722758,1698136825.722758,1.71,1.71,0.86,0.87,1.71,1.71,0.86,0.88
2023-10-24 10:40:25.933733,1698136825.933733,1.71,1.71,0.85,0.86,1.68,1.68,0.85,0.85
2023-10-24 10:40:26.145094,1698136826.145094,1.74,1.74,0.89,0.9,1.72,1.72,0.91,0.92
2023-10-24 10:40:26.355681,1698136826.355681,1.79,1.79,0.98,1.01,1.8,1.8,0.96,0.97
2023-10-24 10:40:26.567032,1698136826.567032,1.83,1.83,0.98,0.98,1.89,1.89,0.96,0.97
2023-10-24 10:40:26.777438,1698136826.777438,1.92,2.03,1.05,1.04,1.98,1.99,1.06,1.11
2023-10-24 10:40:26.988464,1698136826.988464,2.03,2.03,1.05,1.04,1.99,1.99,1.11,1.11
2023-10-24 10:40:27.199906,1698136827.199906,2.03,2.03,1.05,1.04,1.99,1.99,1.11,1.11
2023-10-24 10:40:27.410951,1698136827.410951,2.03,2.03,1.05,1.04,1.99,1.99,1.11,1.11
2023-10-24 10:40:27.621229,1698136827.621229,2.03,2.03,1.05,1.04,1.99,1.99,1.11,1.11
2023-10-24 10:40:27.832663,1698136827.832663,2.03,2.03,1.05,1.04,1.99,1.99,1.11,1.11
2023-10-24 10:40:28.044015,1698136828.044015,2.03,2.03,1.05,1.04,1.99,1.99,1.11,1.11
2023-10-24 10:40:28.254591,1698136828.254591,2.03,2.03,1.05,1.04,1.99,1.99,1.11,1.11
2023-10-24 10:40:28.465769,1698136828.465769,2.03,2.03,1.05,1.04,1.99,1.99,1.11,1.11
2023-10-24 10:40:28.676201,1698136828.676201,2.03,2.03,1.04,1.04,1.99,1.99,1.11,1.11
2023-10-24 10:40:28.887833,1698136828.887833,2.03,2.03,1.04,1.04,1.99,1.99,1.11,1.11
2023-10-24 10:40:29.098494,1698136829.098494,2.03,2.03,1.04,1.04,1.99,1.99,1.11,1.11
2023-10-24 10:40:29.309482,1698136829.309482,2.03,2.03,1.04,1.04,1.99,1.99,1.11,1.11
2023-10-24 10:40:29.520374,1698136829.520374,2.03,2.03,1.04,1.04,1.99,1.99,1.11,1.11
2023-10-24 10:40:29.731400,1698136829.7314,2.03,2.03,1.04,1.04,1.99,1.99,1.11,1.11
2023-10-24 10:40:29.942471,1698136829.942471,2.03,2.03,1.04,1.04,1.99,1.99,1.11,1.11
2023-10-24 10:40:30.154384,1698136830.154384,2.03,2.03,1.04,1.04,1.99,1.99,1.11,1.11
2023-10-24 10:40:30.364552,1698136830.364552,2.03,2.03,1.04,1.04,1.99,1.99,1.11,1.11
2023-10-24 10:40:30.576370,1698136830.57637,2.03,2.03,1.04,1.04,1.99,1.99,1.11,1.11
2023-10-24 10:40:30.786649,1698136830.786649,2.04,2.03,1.04,1.04,1.99,1.99,1.11,1.11
