level_0,index,datetime,timestamp,joint_angle_1,joint_angle_des_1,joint_angle_2,joint_angle_des_2,joint_angle_3,joint_angle_des_3,joint_angle_4,joint_angle_des_4,timestamp_vicon,ee_base_ori_x,ee_base_ori_y,ee_base_ori_z,ee_base_ori_w,ee_top_ori_x,ee_top_ori_y,ee_top_ori_z,ee_top_ori_w,ee_base_pos_x,ee_base_pos_y,ee_base_pos_z,ee_top_pos_x,ee_top_pos_y,ee_top_pos_z
0,0,2023-10-24 10:40:22.568194,1698136822.568194,2.07,2.09,1.06,1.05,2.06,2.09,1.07,1.05,1698136822.57385,0.0296283007475571,-0.0292496095855935,0.9419778466049138,-0.333083113711086,0.0473215320764349,-0.0296831754050642,0.942661597511775,0.3290420858740707,152.8312428029062,329.517619803148,41.59208533904003,150.87329275168034,341.1340436621364,119.90819392787168
1,1,2023-10-24 10:40:22.778750,1698136822.77875,2.03,2.03,1.05,1.04,2.0,1.99,1.11,1.11,1698136822.773897,0.028496488847177,-0.0313940616560897,0.9418408631218268,-0.3333738915542862,0.0394358131412418,-0.012657966484826,0.9399740082610032,0.3387232739569299,152.85321962481507,329.5039782698425,41.293917700299474,150.73995904921023,344.41664562912035,119.84663958260818
2,2,2023-10-24 10:40:22.989412,1698136822.989412,2.11,2.11,0.97,0.91,2.07,2.15,1.14,1.14,1698136822.973944,0.0274419721326192,-0.0321702273783487,0.94173716550381,-0.3336811737943081,0.0357781953715297,-0.0006279186639472,0.9441393578650862,0.3275979233514933,152.82629775316167,329.65221706635936,41.39731248746757,150.5280735230887,346.6108316698164,119.63775044658492
3,3,2023-10-24 10:40:23.200293,1698136823.200293,2.19,2.2,1.02,1.23,2.18,2.27,1.24,1.3,1698136823.17399,0.027542991587378,-0.0313683563147654,0.9418574519845172,-0.3334095829123097,0.043421869130679,0.0072289887232585,0.9603212823706988,0.2754002861820114,152.83173364985535,329.5956354159852,41.41102640752288,151.19540242670544,347.0638750082132,119.56305820318016
4,4,2023-10-24 10:40:23.411630,1698136823.41163,2.24,2.22,1.14,1.32,2.17,2.16,1.36,1.45,1698136823.374038,0.0285917017600733,-0.0313294901661293,0.9417118976689997,-0.3337359426628261,0.0383294894269244,0.0121881465331876,0.9692117750045368,0.2429214575061488,152.79549738152218,329.5165578293219,41.27383146461328,149.72752748511357,347.3722809054095,119.52056613265796
5,5,2023-10-24 10:40:23.623359,1698136823.623359,2.28,2.26,1.26,1.38,2.16,2.14,1.49,1.49,1698136823.574085,0.0291093051161652,-0.0323854810602625,0.9418633587279645,-0.3331624865704835,0.0335689018772805,0.0027652633047843,0.9764928838470478,0.2129016907910426,152.85513392616744,329.4453709225249,41.17933879888474,148.65213593138742,345.5253252527551,119.68450648836908
6,6,2023-10-24 10:40:23.822910,1698136823.82291,2.3,2.28,1.36,1.37,2.22,2.2,1.47,1.48,1698136823.774132,0.0292118003628585,-0.0322833003845783,0.9418904433835292,-0.3330868533860471,0.0427868246184507,-0.0154124477947855,0.9795111129949758,0.1961879802928477,152.85156572576454,329.4423998395131,41.20867126839835,149.2628870437879,342.1191208229393,119.87727855178058
7,7,2023-10-24 10:40:24.033802,1698136824.033802,2.3,2.28,1.35,1.36,2.27,2.26,1.47,1.47,1698136824.074202,0.0291679870701708,-0.0317613523428534,0.9418637340589152,-0.3332163733855598,0.05027675293367,-0.0094565906811062,0.9727185408737936,0.2262773988879457,152.84282584744432,329.41707685517764,41.20067882890339,151.60336663877865,343.5109613969908,119.80682479168676
8,8,2023-10-24 10:40:24.246092,1698136824.246092,2.21,2.2,1.26,1.24,2.21,2.21,1.38,1.34,1698136824.274249,0.0287714508144794,-0.0318504095944041,0.9418994812292528,-0.3331412947786011,0.0602982687237588,-0.0057206907474316,0.96321846790952,0.2618044605508601,152.8553730944164,329.46527524681613,41.24231239410874,153.19365341176731,343.7334138546313,119.87443349952282
9,9,2023-10-24 10:40:24.456441,1698136824.456441,2.11,2.1,1.15,0.83,2.18,2.18,1.25,1.14,1698136824.474297,0.0283592215805704,-0.0317944108440619,0.9418643481791252,-0.3332812920335238,0.0581707675277647,-0.0099863021670465,0.950919365138851,0.3037577926213315,152.85111439537027,329.5162628297342,41.29533134822263,153.2952830513441,343.8708239258757,119.8463300377835
